village_id,TerrainPattern,ConstraintPattern
3402050003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403120003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403120001,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403120006,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403120007,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403030002,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403030007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403030004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403030005,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403030001,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403030006,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403030003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403051001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403051002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403051006,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403051003,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403051005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3403051007,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403051008,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3403051004,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403041001,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3403041003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403041005,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403041002,Both channels terrain-constrained,FFAS=Terrain; DIS=Terrain
3403041004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3403011002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3403011003,Both channels terrain-constrained,FFAS=Terrain; DIS=Terrain
3403011005,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403011001,DIS terrain-constrained only,FFAS=Residual; DIS=Terrain
3403011004,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471140004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3471140001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3471140003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471140002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3471130001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471130003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471130002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471060005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471060003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471060004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471060001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471060002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471070001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471070002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3471070003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3471120001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3471120002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3471100001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3471100002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3471110002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471110003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471110001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471010002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471010003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471010001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471020002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471020001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471020003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471090001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471090002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471080001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471080002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471030003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471030002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471030001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471040003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471040005,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471040007,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3471040006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471040004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471040002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471040001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471050001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3471050002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3471050003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401010003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401010010,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401010012,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401010015,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401010013,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401010011,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401010007,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401010006,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401010009,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401010002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401010005,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401010008,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401010004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401010001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401010014,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401020001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401020003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401020005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401020004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401020002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401020008,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401020006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401020007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401030009,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401030004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401030007,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401030002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401030011,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401030006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401030003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401030010,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401030005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401030001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401030008,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401040004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401040006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401040001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401040003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401040007,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401040002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401040005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401050004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401050001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401050006,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401050003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401050002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401050005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401060002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401060005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401060004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401060007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401060003,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401060008,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401060006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401060001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401070002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401070001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401070005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401070003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401070006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401070004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3401070007,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401080004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401080001,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401080002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401080005,Both channels terrain-constrained,FFAS=Terrain; DIS=Terrain
3401080003,Both channels terrain-constrained,FFAS=Terrain; DIS=Terrain
3401090003,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401090004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401090002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401090001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401100004,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401100006,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3401100003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401100005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401100001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3401100002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401120007,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401120001,Both channels terrain-constrained,FFAS=Terrain; DIS=Terrain
3401120003,Both channels terrain-constrained,FFAS=Terrain; DIS=Terrain
3401120004,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401120006,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401120002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401120005,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401110001,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3401110002,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401110003,DIS terrain-constrained only,FFAS=No significant dominance; DIS=Terrain
3401110004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3404050002,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3404050001,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3404050005,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3404050003,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=No significant dominance
3404050004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3404040005,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3404040002,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3404040007,Neither channel terrain-constrained,FFAS=Residual; DIS=No significant dominance
3404040003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3404040001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3404040004,Neither channel terrain-constrained,FFAS=No significant dominance; DIS=Residual
3404040006,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3404010003,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3404010004,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3404010001,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3404010002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3404020005,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
3404020002,Neither channel terrain-constrained,FFAS=Residual; DIS=Residual
